baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
426.4482907295467,3.2990510568384903,0.2883147454900576,11.44253323301585,2.562910905138794e-30,6.443158015518928e-26,IFI6
815.4592324206185,3.0370719666667614,0.27152317768326906,11.185313874786397,4.8119976786372934e-29,6.048681082047078e-25,MX1
313.93099178066603,3.2978762548649865,0.3403879919665355,9.688579893233161,3.3718424549701243e-22,2.825603977264964e-18,IFI44L
1981.7263428367796,2.209361654972843,0.2606937096988058,8.474932738213912,2.3521539829303733e-17,1.4783287782717397e-13,IFI27
355.57665236043704,1.7967135239460759,0.26957094948286425,6.665085861042631,2.6451067029362997e-11,1.3299596502363716e-7,IFI44
889.277230755433,1.4691764711516466,0.22852589143614963,6.428927864229056,1.2850708857728398e-10,5.384447011388199e-7,CCBE1
731.6537964647267,1.7889203770424844,0.2813469622375908,6.3584136925273915,2.038478658022857e-10,7.321050494670661e-7,IFIT1
58.45420298154796,3.190011825585937,0.5283000465027827,6.0382577035588705,1.5578712871317112e-9,4.4073832390783415e-6,OAS2
92.70685338137406,2.3538127238157593,0.3899491971203355,6.036203539327688,1.57782216196122e-9,4.4073832390783415e-6,BST2
43.9016845476251,2.84962723798582,0.518986608801667,5.490752920514789,4.002239149848748e-8,1.0061629222719753e-4,XAF1
